Wall time,Step,Value
1680744062.5808463,1,0.017109323292970657
1680744128.0300746,2,0.010767510160803795
1680744193.4953759,3,0.008912674151360989
1680744259.5563684,4,0.007423699367791414
1680744325.7699742,5,0.006084180902689695
1680744391.843971,6,0.005610797554254532
1680744457.5663693,7,0.004798111040145159
1680744523.8521202,8,0.004342907574027777
1680744589.56096,9,0.004242287948727608
1680744655.0223165,10,0.00376311456784606
1680744721.3580399,11,0.003794193034991622
1680744787.010245,12,0.003595723770558834
1680744853.2194471,13,0.003425312228500843
1680744918.964381,14,0.0032247421331703663
1680744984.7033827,15,0.003232173155993223
1680745050.6872022,16,0.0031313688959926367
1680745116.4014711,17,0.002883009612560272
1680745182.8728735,18,0.0028503143694251776
1680745248.4006112,19,0.003012797562405467
1680745314.1706991,20,0.002725896192714572
1680745380.0131905,21,0.002645581029355526
1680745446.8692315,22,0.002582609886303544
1680745512.49589,23,0.002500148257240653
1680745578.3353343,24,0.002525456715375185
1680745644.631394,25,0.0024556403513997793
1680745710.9090805,26,0.002340025966987014
1680745776.6440623,27,0.002347933826968074
1680745842.4821074,28,0.002380386460572481
1680745908.465047,29,0.002354235853999853
1680745974.4282193,30,0.002235324354842305
1680746040.3700728,31,0.0022546574473381042
1680746106.4750779,32,0.0020995219238102436
1680746172.966424,33,0.0021676253527402878
1680746239.027938,34,0.0021442235447466373
1680746303.9497578,35,0.0020962744019925594
1680746369.6211357,36,0.0020054185297340155
1680746434.886541,37,0.0020284552592784166
1680746499.850565,38,0.002042556880041957
1680746564.9338229,39,0.0019028577953577042
1680746630.3272576,40,0.0017980863340198994
1680746695.610074,41,0.0019024471985176206
1680746761.128334,42,0.0018395595252513885
1680746826.1909273,43,0.0017844050889834762
1680746891.3999474,44,0.0019092971924692392
1680746956.0504096,45,0.001746691414155066
1680747021.6090147,46,0.0017749994294717908
1680747087.2329292,47,0.0016708128387108445
1680747152.90104,48,0.0016785976476967335
1680747218.530785,49,0.0017402776284143329
1680747284.057656,50,0.0016958577325567603
1680747349.5238316,51,0.0016938461922109127
1680747414.9071374,52,0.0016277102986350656
1680747480.0065558,53,0.0016453418647870421
1680747546.1243799,54,0.001663150149397552
1680747612.8486598,55,0.0015467931516468525
1680747678.2462802,56,0.001511746784672141
1680747744.119798,57,0.0015090708620846272
1680747809.6781495,58,0.0015032446244731545
1680747874.4706256,59,0.0013641295954585075
1680747940.1500022,60,0.0014903098344802856
1680748005.1838167,61,0.001413371181115508
1680748070.5457344,62,0.0013914280571043491
1680748135.9553044,63,0.0013494219165295362
1680748201.0759711,64,0.0013621744001284242
1680748266.4318774,65,0.0012767697917297482
1680748332.1443207,66,0.0013526644324883819
1680748397.5270944,67,0.0012413521762937307
1680748463.327293,68,0.0013014944270253181
1680748528.7149022,69,0.001275250338949263
1680748593.8012784,70,0.0012515339767560363
1680748660.0870807,71,0.0011035003699362278
1680748725.095387,72,0.0012072596000507474
1680748790.4041097,73,0.001134595018811524
1680748855.687261,74,0.0011768954573199153
1680748920.7796597,75,0.0010950214928016067
1680748985.7771468,76,0.0010887953685596585
1680749051.4946282,77,0.00111732620280236
1680749117.1007552,78,0.0010733234230428934
1680749183.2211723,79,0.0010342258028686047
1680749249.3671649,80,0.0009903938043862581
1680749314.976521,81,0.0010685769375413656
1680749380.2188153,82,0.0009833071380853653
1680749445.808715,83,0.0010677556274458766
1680749511.4022238,84,0.0008987903129309416
1680749577.3409305,85,0.0009376400848850608
1680749642.237414,86,0.0009983693016692996
1680749708.0125983,87,0.0009268132271245122
1680749773.5250294,88,0.0009117861627601087
1680749838.7088373,89,0.0008676514262333512
1680749904.559563,90,0.0008074911893345416
1680749970.1696525,91,0.0007933598244562745
1680750035.441915,92,0.0007853242568671703
1680750100.4439423,93,0.0007572083850391209
1680750165.4153373,94,0.0008673600968904793
1680750230.4222515,95,0.0008051356999203563
1680750295.0548785,96,0.0007515705074183643
1680750359.8545613,97,0.0007574203773401678
1680750425.2736342,98,0.0006967402878217399
1680750490.6052217,99,0.0006837361725047231
1680750555.9491718,100,0.0006981329643167555
1680750621.3543057,101,0.0006644147797487676
1680750686.4140415,102,0.0007279917481355369
1680750751.832022,103,0.0006686098640784621
1680750817.0792568,104,0.0006561455084010959
1680750882.3887904,105,0.0006177294999361038
1680750947.5289738,106,0.0005852881586179137
1680751013.2848144,107,0.0005964012816548347
1680751078.388154,108,0.0006035153637640178
1680751143.8513527,109,0.0005967628094367683
1680751209.0848017,110,0.0006045314366929233
1680751274.5030346,111,0.0005317746545188129
1680751339.2513309,112,0.0005816891207359731
1680751404.5711992,113,0.0004976036143489182
1680751470.2912188,114,0.0005353714805096388
1680751535.1403673,115,0.0004950815346091986
1680751600.7594266,116,0.0005423002294264734
1680751666.7167976,117,0.0005249497480690479
1680751732.4357271,118,0.0004811576218344271
1680751798.4830766,119,0.00047502972302027047
1680751864.5014033,120,0.00045147151104174554
1680751930.1447616,121,0.00047791903489269316
1680751995.8663037,122,0.0004563109250739217
1680752060.8667114,123,0.0004594582424033433
1680752126.9620621,124,0.0004484622913878411
1680752192.2183652,125,0.0004272334626875818
1680752257.1491451,126,0.0004340059822425246
1680752322.8211358,127,0.0004420151235535741
1680752388.1151044,128,0.00039140015724115074
1680752453.455385,129,0.0004061505605932325
1680752518.7733335,130,0.00043705638381652534
1680752584.076007,131,0.00041219458216801286
1680752649.1177104,132,0.0003692263562697917
1680752714.8426871,133,0.0004468558472581208
1680752780.5748966,134,0.0003330150502733886
1680752846.4778354,135,0.00035658691194839776
1680752912.1485307,136,0.00038639758713543415
1680752977.7822292,137,0.00035514828050509095
1680753043.4168663,138,0.0003589909174479544
1680753108.6215203,139,0.00039791816379874945
1680753175.1624513,140,0.00030727486591786146
1680753240.9271574,141,0.0003764418652281165
1680753306.2637317,142,0.000356671487679705
1680753371.7675848,143,0.0003461942251306027
1680753437.429592,144,0.000348265195498243
1680753502.8398128,145,0.0003504623891785741
1680753568.4365432,146,0.00037580844946205616
1680753633.7488685,147,0.00034260249231010675
1680753699.0401723,148,0.00036041700514033437
1680753764.4320796,149,0.00034766667522490025
